나이성별,차량아이디,차량아이디_빈도수,scaled_차량아이디_빈도수
46,124,1757,7.817946505608282
65,101,406,4.577036310107949
85,88,24,1.5671232876712329
44,95,891,3.5664851009291896
28,13,509,6.385159010600707
67,26,129,1.9956784788245463
45,124,1298,8.13072693952352
44,13,2694,8.765780198654278
24,113,364,3.4919908466819223
50,91,481,3.5189504373177845
72,36,85,2.1702786377708976
84,78,10,1.23342939481268
63,13,794,7.488181818181819
92,14,225,10.000000000000002
63,106,67,1.54
43,101,1189,5.786034019695613
6,51,274,8.16326530612245
45,134,47,1.2529016493585827
31,84,288,6.145418326693228
46,75,81,1.3106125970664366
41,36,50,1.333585476550681
54,86,107,2.5313001605136436
48,14,2056,10.0
5,107,8,1.21
91,11,34,2.7573964497041423
52,113,851,8.109665427509293
44,51,2318,7.681512335789812
45,14,1638,10.0
49,26,162,1.9558047493403694
48,103,147,1.6394160583941606
26,107,84,1.8101952277657265
16,95,9,2.8461538461538463
10,13,215,6.364902506963789
44,48,1432,5.126561999359179
64,71,296,2.833563535911602
92,20,19,1.7232142857142858
43,128,45,1.1772605192479857
2,101,35,2.4299065420560746
63,73,15,1.1145454545454545
24,103,104,1.7070938215102975
92,18,6,1.2008928571428572
49,113,1267,8.515831134564642
46,113,1364,6.292062122519413
63,14,1101,10.000000000000002
41,13,1199,9.155824508320725
24,101,702,5.812356979405034
66,71,210,2.33026874115983
5,100,14,1.39
43,13,1594,7.4176365264100275
47,11,301,2.715374841168996
45,136,126,1.6872327428222358
112,124,65,7.857142857142857
42,14,1290,8.347055098163393
56,86,43,2.4
92,84,163,7.508928571428572
22,14,630,7.5979020979020975
71,95,247,4.677740863787376
68,101,501,4.180212014134276
41,14,1323,10.0
44,82,292,1.8391541172701058
42,13,1375,8.83153894870171
10,14,360,10.0
7,14,333,10.0
65,114,105,1.9185475956820413
47,132,105,1.5946632782719186
52,17,51,1.4182156133828996
48,106,81,1.3503649635036497
51,86,127,1.7283236994219653
63,84,687,6.612727272727273
30,84,417,6.356223175965665
6,107,21,1.5247813411078717
50,57,93,1.482798833819242
62,48,313,5.808219178082192
45,48,546,3.996334758704948
22,51,859,10.0
50,113,1455,8.630320699708456
87,124,242,5.777533039647578
43,123,135,1.5398388540734111
44,40,439,2.263056712592118
64,14,1449,10.0
48,124,1181,6.1678832116788325
77,13,32,6.264150943396226
63,19,12,1.09
27,112,4,1.0426540284360188
21,91,198,4.01530612244898
66,50,56,1.35007072135785
32,124,252,5.344230769230769
32,31,70,2.1942307692307694
63,51,589,5.8109090909090915
47,82,250,2.4237611181702667
44,1,1,1.0
3,34,22,1.607717041800643
52,51,405,4.379182156133829
46,101,1101,5.270923209663502
24,71,228,2.5583524027459954
49,84,904,6.360817941952506
55,124,147,6.663793103448276
